City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,upernavik,97,GL,1593272389,83,72.79,-56.15,3.98,2.66
1,rikitea,19,PF,1593272390,73,-23.12,-134.97,22.23,6.57
2,qaanaaq,0,GL,1593272391,75,77.48,-69.36,5.34,1.88
3,vaini,20,TO,1593272391,94,-21.2,-175.2,23.0,1.5
4,hithadhoo,100,MV,1593272392,74,-0.6,73.08,29.31,3.64
5,luderitz,0,NA,1593272392,52,-26.65,15.16,18.0,7.7
6,kavaratti,100,IN,1593272393,74,10.57,72.64,28.96,8.88
7,esperance,0,AU,1593272393,62,-33.87,121.9,13.0,3.6
8,mataura,100,NZ,1593272394,83,-46.19,168.86,3.89,1.34
9,vila franca do campo,75,PT,1593272394,83,37.72,-25.43,22.0,7.7
10,pacific grove,90,US,1593272395,87,36.62,-121.92,15.0,1.28
11,muswellbrook,37,AU,1593272395,80,-32.27,150.9,9.44,1.22
12,port blair,99,IN,1593272351,80,11.67,92.75,28.21,3.95
13,faanui,84,PF,1593272396,78,-16.48,-151.75,24.57,6.99
14,hobart,44,AU,1593272349,93,-42.88,147.33,5.0,1.5
15,iranshahr,0,IR,1593272397,7,27.2,60.68,44.0,6.2
16,mar del plata,98,AR,1593272188,93,-38.0,-57.56,7.0,3.1
17,krosno odrzanskie,39,PL,1593272398,35,52.05,15.1,30.0,1.0
18,atuona,3,PF,1593272399,80,-9.8,-139.03,26.26,6.89
19,yerbogachen,30,RU,1593272400,68,61.28,108.01,17.83,1.73
20,barrow,1,US,1593272229,87,71.29,-156.79,7.0,5.1
21,kahului,90,US,1593272402,78,20.89,-156.47,24.0,4.1
22,new norfolk,73,AU,1593272402,91,-42.78,147.06,3.89,1.07
23,mercedes,79,AR,1593272353,50,-34.65,-59.43,13.33,3.58
24,saint george,1,US,1593272403,22,37.1,-113.58,29.44,1.5
25,albany,100,US,1593272404,74,42.6,-73.97,20.56,2.06
26,lososina,95,RU,1593272404,90,49.0,140.31,9.84,1.45
27,middelburg,0,ZA,1593272405,40,-25.78,29.46,12.62,4.3
28,general roca,90,AR,1593272405,93,-39.03,-67.58,2.0,3.6
29,bogdanovich,66,RU,1593272264,70,56.78,62.05,12.32,2.28
30,busselton,60,AU,1593272406,85,-33.65,115.33,15.56,9.52
31,havelock,40,US,1593272407,62,34.88,-76.9,30.0,3.6
32,jiuquan,13,CN,1593272408,41,39.74,98.52,19.02,3.11
